sample_id,iteration,seed,Percentage of burned trees
0,0,86006005932312021773361338512899490547,0.036
0,1,264090717668239392159733775508347078827,0.0335
0,2,257727941470153512390498768074432942284,0.0295
0,3,85557232294273619332689846488258075213,0.0495
0,4,69722203510921011203798763814294619690,0.042
0,5,136326262268910121047445702685082862862,0.0315
0,6,296818896768592701752875349123437486703,0.048
0,7,67213202680697548285541839366499712380,0.0335
0,8,144713330028184434804336718314320835953,0.042
0,9,33497297471669728168499674481959936338,0.0305
0,10,117336325366560777462738300776456199953,0.042
0,11,110086250904729693044713995354265591826,0.036
0,12,295862988955962761513695357605903235386,0.0265
0,13,337564108822429935367044247021133358134,0.0285
0,14,59097326095949473104561096749068219558,0.0285
0,15,155733497253623732104816129337223506435,0.0285
0,16,157329622114410090352777280398424793352,0.03
0,17,84942864901678162990627350811688490238,0.0455
0,18,70233235351701442139129202041217698187,0.0475
0,19,248349650364702090613040788623283682485,0.036
0,20,282315604779314522101220035608554211464,0.033
0,21,147175186168014406287678898739620811135,0.0395
0,22,39144579015150135725014411274705086175,0.043
0,23,24727970691155516867734639980423932968,0.0235
0,24,251685862806285483945063445425002927288,0.0345
0,25,232157489396478160287619760930241254661,0.028
0,26,337517607555825946910371166697117771607,0.046
0,27,61309061245097799879447976571011700633,0.039
0,28,238789304525316265734457530704098956554,0.0445
0,29,60567416057285267691456920964806474345,0.022
0,30,338069133181644144775019798331072111124,0.0335
0,31,322195101037959655787402811820634045451,0.025
0,32,304324357113165390584171170226094477029,0.0315
0,33,16056892038243740947330380876063735241,0.0375
0,34,120926060230584304381174954082794307379,0.031
0,35,168520140211065560931252979060015328163,0.0365
0,36,195041298467013644616729514518444604113,0.026
0,37,137079204807998265321216150945372000409,0.0295
0,38,6565392055461608232512989191776743540,0.035
0,39,137642480663894484556791560621311535098,0.0335
1,0,245985291759685164821714007178477511600,0.04258306036499766
1,1,252317625872039910219591020271172095551,0.031820308844174076
1,2,249275308423373267351662140419431301596,0.02667290594291062
1,3,316185410523109420610894830441095351303,0.03462798315395414
1,4,277888895673884464880530792073704632801,0.03509592887225082
1,5,14977366032661455937451080441514023770,0.03509592887225082
1,6,299066591336843172708185778632279350607,0.03228825456247075
1,7,76356145814820714876059751375750063133,0.029948525970987367
1,8,312050275369191116845960710662514569131,0.02573701450631727
1,9,27874804168040967039838537903669370808,0.03883949461862424
1,10,114862248829414456171214461390178463311,0.03275620028076743
1,11,152405914072155611561528498024899170200,0.0313523631258774
